movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Joy ,315,124,737,14000,34000,56443482,Biography|Comedy|Drama,75329,75793,3,256,USA,PG-13,60000000,2015,22000,6.6,1.85,24000
London Has Fallen ,225,99,24,864,18000,62401264,Action|Crime|Drama|Thriller,69484,20276,3,323,UK,R,60000000,2016,992,5.9,2.35,28000
Alien: Resurrection ,223,116,0,672,1000,47748610,Action|Horror|Sci-Fi,170179,3090,0,656,USA,R,75000000,1997,720,6.3,2.35,0
Shooter ,198,124,845,295,650,46975183,Action|Crime|Drama|Mystery|Thriller,256213,1640,0,338,USA,R,61000000,2007,467,7.2,2.35,0
The Boxtrolls ,219,96,7,642,874,50807639,Adventure|Animation|Comedy|Family|Fantasy,40883,3151,3,122,USA,PG,60000000,2014,668,6.8,1.85,11000
Practical Magic ,92,104,165,944,1000,46611204,Comedy|Drama|Fantasy|Romance,55749,4294,1,257,USA,PG-13,48000000,1998,967,6.1,2.35,0
The Lego Movie ,435,100,97,2000,11000,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,246698,22128,0,471,Australia,PG,60000000,2014,8000,7.8,2.35,64000
Miss Congeniality 2: Armed and Fabulous ,111,115,11,642,1000,48472213,Action|Comedy|Crime,51252,4305,2,156,USA,PG-13,45000000,2005,759,5,2.35,621
Reign of Fire ,138,101,38,11000,23000,43060566,Action|Adventure|Fantasy|Sci-Fi|Thriller,107859,53024,0,569,USA,PG-13,60000000,2002,18000,6.2,2.35,0
Gangster Squad ,415,113,181,300,33000,45996718,Action|Crime|Drama|Thriller,173530,34738,3,264,USA,R,60000000,2013,301,6.7,2.35,40000
Year One ,170,100,11000,485,10000,43337279,Adventure|Comedy,76770,12258,2,203,USA,PG-13,60000000,2009,1000,4.9,1.85,0
Invictus ,306,134,16000,204,13000,37479778,Biography|Drama|History|Sport,124222,24458,1,259,USA,PG-13,60000000,2009,11000,7.4,2.35,23000
State of Play ,252,127,162,379,18000,36965395,Crime|Drama|Mystery|Thriller,113295,19776,3,235,USA,PG-13,,2009,748,7.1,2.35,0
Duplicity ,211,125,209,896,8000,40559930,Comedy|Crime|Romance|Thriller,41727,10623,0,184,USA,PG-13,60000000,2009,1000,6.2,2.35,0
My Favorite Martian ,49,94,80,230,1000,36830057,Comedy|Family|Sci-Fi,10883,2151,2,73,USA,PG,65000000,1999,417,4.9,1.85,448
The Sentinel ,161,107,69,206,310,36279230,Action|Crime|Thriller,42144,1352,0,213,USA,PG-13,60000000,2006,219,6.1,2.35,690
Planet 51 ,156,91,2,480,12000,42194060,Adventure|Animation|Comedy|Family|Sci-Fi,41259,22668,1,72,Spain,PG,70000000,2009,10000,6.1,2.35,0
Star Trek: Nemesis ,172,116,53,906,27000,43119879,Action|Adventure|Sci-Fi|Thriller,58450,31224,0,842,USA,PG-13,60000000,2002,1000,6.4,2.35,0
Intolerable Cruelty ,161,100,0,210,436,35096190,Comedy|Crime|Romance,76560,1395,1,322,USA,PG-13,60000000,2003,399,6.3,1.85,0
Trouble with the Curve ,239,111,39,461,16000,35754555,Drama|Sport,47954,17871,0,150,USA,PG-13,,2012,897,6.8,2.35,11000
Edge of Darkness ,258,117,258,896,2000,43290977,Crime|Drama|Mystery|Thriller,75201,7053,1,256,UK,R,80000000,2010,1000,6.6,2.35,0
The Relic ,95,110,0,308,510,33927476,Horror|Mystery|Sci-Fi|Thriller,19176,1976,0,165,UK,R,40000000,1997,344,5.7,2.35,956
Analyze That ,105,96,11000,236,22000,32122249,Comedy|Crime,69319,22889,1,138,USA,R,60000000,2002,394,5.9,1.85,846
Righteous Kill ,198,101,50,1000,22000,40076438,Action|Crime|Drama|Mystery|Thriller,73368,38809,2,248,USA,R,60000000,2008,14000,6,2.35,0
Mercury Rising ,79,111,17,652,13000,32940507,Action|Crime|Drama|Thriller,54314,16536,1,127,USA,R,60000000,1998,968,6.1,2.35,0
The Soloist ,210,117,456,569,21000,31670931,Biography|Drama|Music,44099,23745,0,143,UK,PG-13,60000000,2009,939,6.7,2.35,0
The Legend of Bagger Vance ,125,126,0,9000,13000,30695227,Drama|Fantasy|Sport,45296,34774,3,267,USA,PG-13,60000000,2000,10000,6.7,1.85,0
Almost Famous ,149,152,488,947,22000,32522352,Adventure|Comedy|Drama|Music,207287,36897,1,822,USA,R,60000000,2000,11000,7.9,1.85,15000
Garfield 2 ,77,86,25,265,13000,28424210,Animation|Comedy|Family|Fantasy,27517,14918,0,74,UK,PG,,2006,1000,5,1.85,470
xXx: State of the Union ,77,101,93,218,287,26082914,Action|Adventure|Crime|Thriller,51349,993,2,213,USA,PG-13,87000000,2005,233,4.3,2.35,0
Priest ,225,87,124,77,865,29136626,Action|Fantasy|Horror|Sci-Fi|Thriller,97089,1417,0,233,USA,PG-13,60000000,2011,441,5.7,2.35,20000
Sinbad: Legend of the Seven Seas ,98,85,0,82,11000,26288320,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,36144,11301,0,91,USA,PG,60000000,2003,102,6.7,1.66,880
Event Horizon ,172,130,545,552,722,26616590,Horror|Sci-Fi|Thriller,120416,2525,0,857,UK,R,60000000,1997,585,6.7,2.35,10000
The Avengers ,703,173,0,19000,26000,623279547,Action|Adventure|Sci-Fi,995415,87697,3,1722,USA,PG-13,220000000,2012,21000,8.1,1.85,123000
Dragonfly ,117,104,293,256,780,30063805,Drama|Fantasy|Mystery|Romance|Thriller,31788,2109,0,243,USA,PG-13,60000000,2002,265,6.1,2.35,0
The Black Dahlia ,240,121,0,854,19000,22518325,Crime|Drama|Mystery|Thriller,63363,22833,0,644,Germany,R,50000000,2006,972,5.6,2.35,0
Flyboys ,123,140,23,579,11000,13082288,Action|Adventure|Drama|History|Romance|War,35565,12634,1,247,UK,PG-13,60000000,2006,779,6.6,2.35,2000
The Last Castle ,110,131,37,507,968,18208078,Action|Drama|Thriller,57100,3012,3,281,USA,R,60000000,2001,848,6.9,2.35,0
Supernova ,100,91,394,68,889,14218868,Horror|Sci-Fi|Thriller,14596,1262,0,282,USA,PG-13,65000000,2000,290,4.8,2.35,589
Winter's Tale ,189,118,167,778,20000,22451,Drama|Fantasy|Mystery|Romance,41288,22447,0,126,USA,PG-13,60000000,2014,882,6.2,2.35,17000
The Mortal Instruments: City of Bones ,212,130,91,1000,5000,31165421,Fantasy|Horror|Mystery|Romance,107028,10247,3,457,USA,PG-13,60000000,2013,2000,6,2.35,44000
Meet Dave ,127,90,48,196,973,11802056,Adventure|Comedy|Family|Romance|Sci-Fi,31640,1865,1,109,USA,PG,60000000,2008,400,4.9,1.85,791
Dark Water ,196,103,179,87,794,25472967,Drama|Horror|Thriller,44966,1467,2,411,USA,PG-13,30000000,2005,329,5.6,2.35,0
Edtv ,115,122,2000,1000,11000,22362500,Comedy|Drama,35599,15275,0,195,USA,PG-13,55000000,1999,1000,6.1,1.85,641
Inkheart ,161,106,34,466,3000,17281832,Adventure|Family|Fantasy,60232,5329,3,110,Germany,PG,60000000,2008,1000,6.1,2.35,0
The Spirit ,223,103,436,437,19000,19781879,Action|Crime|Fantasy|Thriller,53864,20881,1,290,USA,PG-13,60000000,2008,961,4.8,2.35,2000
Mortdecai ,181,107,192,280,40000,7605668,Action|Comedy|Mystery|Romance,47320,42683,2,188,UK,R,60000000,2015,2000,5.5,2.35,12000
In the Name of the King: A Dungeon Siege Tale ,140,156,892,102,26000,4535117,Action|Adventure|Fantasy|Thriller,38398,26564,3,368,Germany,PG-13,60000000,2007,368,3.8,2.35,0
Beyond Borders ,54,127,258,617,11000,4426297,Adventure|Drama|Romance|War,22570,12947,2,156,USA,R,35000000,2003,708,6.5,2.35,0
Xi you ji zhi: Sun Wukong san da Baigu Jing ,14,119,3,22,879,,Action|Adventure|Fantasy,1212,1026,1,9,China,,68005000,2016,107,6,2.35,426
The Great Raid ,81,132,131,242,11000,10166502,Action|Drama|War,18209,12133,0,183,USA,R,80000000,2005,298,6.7,2.35,0
Deadpool ,579,108,84,361,16000,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,479047,18239,0,1058,USA,R,58000000,2016,805,8.1,2.35,117000
Holy Man ,56,114,65,440,743,12065985,Comedy|Drama,16260,2367,1,88,USA,PG,60000000,1998,730,4.9,2.35,296
American Sniper ,490,133,16000,318,14000,350123553,Action|Biography|Drama|History|Thriller|War,325264,16277,0,916,USA,R,58800000,2014,962,7.3,2.35,112000
Goosebumps ,218,103,11,543,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,47968,5497,4,154,USA,PG,58000000,2015,1000,6.4,2.35,35000
"Sabrina, the Teenage Witch             ",20,22,,271,870,,Comedy|Family|Fantasy,24420,2433,1,94,USA,TV-G,3000000,,558,6.6,1.33,990
Just Like Heaven ,142,95,70,512,970,48291624,Comedy|Fantasy|Romance,82819,2876,1,263,USA,PG-13,58000000,2005,834,6.7,1.85,0
The Flintstones in Viva Rock Vegas ,57,90,32,809,1000,35231365,Comedy|Family|Romance|Sci-Fi,15517,6299,0,85,USA,PG,60000000,2000,891,3.6,1.85,500
Rambo III ,84,87,10,349,13000,53715611,Action|Adventure|Thriller|War,92106,14574,1,171,USA,R,63000000,1988,1000,5.7,2.35,2000
Leatherheads ,186,114,0,110,142,31199215,Comedy|Drama|Romance|Sport,27664,589,8,120,USA,PG-13,58000000,2008,117,6,1.85,472
The Ridiculous 6 ,53,119,153,11000,12000,,Comedy|Western,27019,36167,4,143,USA,TV-14,,2015,11000,4.9,2.35,0
Did You Hear About the Morgans? ,133,103,30,727,963,29580087,Comedy|Drama|Romance,29523,3150,2,121,USA,PG-13,58000000,2009,935,4.7,2.35,0
The Internship ,246,125,189,839,1000,44665963,Comedy,159931,5081,2,281,USA,PG-13,58000000,2013,847,6.3,2.35,22000
Resident Evil: Afterlife ,253,97,545,529,14000,60128566,Action|Adventure|Horror|Sci-Fi,131447,16098,1,410,Germany,R,60000000,2010,1000,5.9,2.35,19000
Red Tails ,144,125,143,519,1000,49875589,Action|Adventure|Drama|History|War,28807,4416,0,273,USA,PG-13,58000000,2012,664,5.9,2.35,0
Sex and the City ,46,30,,479,962,,Comedy|Romance,80025,2558,0,238,USA,TV-MA,,,722,7,1.33,0
The Devil's Advocate ,117,136,138,9000,18000,60984028,Drama|Mystery|Thriller,259519,45271,2,431,USA,R,57000000,1997,14000,7.5,2.35,11000
That's My Boy ,157,116,51,622,11000,36931089,Comedy,70681,16484,2,198,USA,R,70000000,2012,3000,5.6,2.35,12000
DragonHeart ,60,103,357,40,2000,51317350,Action|Adventure|Fantasy,78343,2710,0,139,USA,PG-13,57000000,1996,663,6.4,2.35,0
After the Sunset ,117,97,420,455,4000,28328132,Action|Comedy|Crime|Drama,38298,9814,2,147,USA,PG-13,58000000,2004,3000,6.3,2.35,782
Ghost Rider: Spirit of Vengeance ,287,96,83,1000,12000,51774002,Action|Fantasy|Thriller,87745,16121,1,331,USA,PG-13,57000000,2011,1000,4.3,2.35,18000
Captain Corelli's Mandolin ,96,131,108,58,23000,25528495,Drama|Music|Romance|War,28099,23325,2,220,UK,R,57000000,2001,243,5.9,2.35,0
Anger Management ,26,22,,676,883,,Comedy|Romance,26992,4115,1,54,USA,,,,701,6.7,16,0
The Pacifier ,125,95,163,650,14000,113006880,Action|Comedy|Drama|Family|Thriller,66308,16884,0,225,Canada,PG,56000000,2005,799,5.5,2.35,0
Walking Tall ,117,86,10,348,12000,45860039,Action|Crime,53118,14146,1,221,USA,PG-13,56000000,2004,795,6.2,2.35,0
Forrest Gump ,149,142,0,194,15000,329691196,Comedy|Drama,1251222,15700,0,1398,USA,PG-13,55000000,1994,294,8.8,2.35,59000
Alvin and the Chipmunks ,131,92,25,639,1000,217326336,Animation|Comedy|Family|Fantasy|Music,57276,2847,0,146,USA,PG,60000000,2007,718,5.2,1.85,0
Meet the Parents ,150,108,116,708,22000,166225040,Comedy,260442,24286,2,507,USA,PG-13,55000000,2000,713,7,1.85,0
Pocahontas ,92,84,12,752,23000,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,119675,26754,1,216,USA,G,55000000,1995,2000,6.6,1.78,0
Superman ,169,188,503,467,10000,134218018,Action|Adventure|Drama|Romance|Sci-Fi,126357,12940,0,497,USA,PG,55000000,1978,593,7.3,2.35,0
The Nutty Professor ,57,95,293,744,851,128769345,Comedy|Romance|Sci-Fi,86556,3155,1,99,USA,PG-13,54000000,1996,773,5.6,1.85,960
Hitch ,171,118,72,681,10000,177575142,Comedy|Romance,244840,13426,1,372,USA,PG-13,70000000,2005,975,6.6,2.35,0
George of the Jungle ,53,92,39,458,3000,105263257,Action|Adventure|Comedy|Family|Romance,56168,4518,0,103,USA,PG,55000000,1997,562,5.4,1.85,5000
American Wedding ,153,74,58,729,3000,104354205,Comedy|Romance,162331,5713,3,332,USA,R,55000000,2003,864,6.3,2.35,0
Captain Phillips ,491,134,521,186,15000,107100855,Biography|Drama|Thriller,323353,16281,0,527,USA,PG-13,55000000,2013,535,7.9,2.35,65000
Date Night ,247,101,189,7000,15000,98711404,Comedy|Crime|Romance|Thriller,127571,39822,2,207,USA,PG-13,55000000,2010,11000,6.3,2.35,0
Casper ,26,100,52,394,795,100328194,Comedy|Family|Fantasy,85903,2638,0,92,USA,PG,50000000,1995,419,6,1.85,0
The Equalizer ,292,132,845,683,18000,101530738,Action|Crime|Thriller,229574,37605,0,436,USA,R,55000000,2014,17000,7.2,2.35,56000
Maid in Manhattan ,114,105,61,708,5000,93815117,Comedy|Drama|Romance,68417,7184,2,242,USA,PG-13,55000000,2002,827,5.1,2.35,0
Crimson Tide ,82,123,12000,665,18000,91400000,Action|Drama|Thriller|War,81026,30132,0,194,USA,R,53000000,1995,10000,7.3,2.35,0
The Pursuit of Happyness ,201,117,125,168,10000,162586036,Biography|Drama,338383,11036,0,611,USA,PG-13,55000000,2006,617,8,2.35,32000
Flightplan ,231,98,124,354,931,89706988,Drama|Mystery|Thriller,126746,2287,1,600,USA,PG-13,55000000,2005,507,6.2,2.35,0
Disclosure ,55,128,272,383,2000,83000000,Drama|Thriller,36587,3888,0,95,USA,R,55000000,1994,812,6,2.35,0
City of Angels ,110,114,52,539,12000,78745923,Drama|Fantasy|Romance,94407,13905,1,322,Germany,PG-13,55000000,1998,702,6.7,2.35,0
Kill Bill: Vol. 1 ,354,111,16000,640,926,70098138,Action,735784,3983,0,2105,USA,R,30000000,2003,890,8.1,2.35,13000
Bowfinger ,140,85,0,490,21000,66365290,Comedy,56874,22458,2,358,USA,PG-13,55000000,1999,860,6.4,1.37,0
Stargate SG-1 ,77,44,,72,847,,Action|Adventure|Drama|Sci-Fi,63982,1359,4,181,USA,TV-14,1400000,,440,8.4,1.33,0
Kill Bill: Vol. 2 ,304,137,16000,348,890,66207920,Action|Crime|Drama|Thriller,512749,1959,0,935,USA,R,30000000,2004,387,8,2.35,0
Tango & Cash ,45,97,96,403,13000,63408614,Action|Comedy|Crime|Thriller,75365,14432,1,149,USA,R,55000000,1989,549,6.3,2.35,0
Death Becomes Her ,49,104,0,812,13000,58422650,Comedy|Fantasy|Horror,78974,25599,3,173,USA,PG-13,55000000,1992,11000,6.4,1.85,8000
Shanghai Noon ,146,110,9,95,485,56932305,Action|Adventure|Comedy|Western,96690,939,2,293,USA,PG-13,55000000,2000,110,6.6,2.35,0
Executive Decision ,60,133,53,263,1000,68750000,Action|Adventure|Thriller,40858,2916,0,144,USA,R,55000000,1996,780,6.4,2.35,0
Mr. Popper's Penguins ,189,94,70,497,1000,68218041,Comedy|Family|Fantasy,67191,2820,1,108,USA,PG,55000000,2011,549,6,1.85,14000
The Forbidden Kingdom ,206,104,50,947,5000,25040293,Action|Adventure|Fantasy,88049,7247,0,279,USA,PG-13,55000000,2008,962,6.6,2.35,0
Free Birds ,118,91,39,562,1000,55747724,Adventure|Animation|Comedy|Family,18042,3104,1,73,USA,PG,55000000,2013,591,5.9,1.85,0
Alien 3 ,210,145,21000,243,534,55473600,Action|Horror|Sci-Fi,207686,1543,0,776,USA,R,50000000,1992,273,6.4,2.35,0
Evita ,76,135,317,34,57,49994804,Biography|Drama|History|Musical,29205,164,1,194,USA,PG,55000000,1996,40,6.3,2.35,0
Ronin ,149,122,287,135,22000,41609593,Action|Adventure|Crime|Thriller,145422,24270,2,572,UK,R,55000000,1998,2000,7.3,2.35,0
The Ghost and the Darkness ,62,110,81,163,1000,38553833,Adventure|Drama|Horror|Thriller,46239,1752,0,155,USA,R,55000000,1996,416,6.8,2.35,0
Paddington ,224,95,17,594,838,76137505,Animation|Comedy|Family|Fantasy,49207,3697,0,174,UK,PG,55000000,2014,722,7.2,2.35,30000
The Watch ,265,102,82,537,622,34350553,Action|Comedy|Sci-Fi,104066,2488,4,207,USA,R,68000000,2012,591,5.7,2.35,15000
The Hunted ,135,94,607,215,933,34238611,Action|Crime|Drama|Thriller,35830,2248,1,321,USA,R,55000000,2003,518,6,1.85,0
Instinct ,100,126,226,241,12000,34098563,Drama|Thriller,27191,13406,1,232,USA,R,55000000,1999,509,6.5,2.35,0
Stuck on You ,123,118,101,327,13000,33828318,Comedy,44453,14036,2,154,USA,PG-13,55000000,2003,390,5.8,2.35,0
Semi-Pro ,164,99,3,490,8000,33472850,Comedy|Sport,67005,10026,3,119,USA,R,55000000,2008,509,5.8,2.35,0
The Pirates! Band of Misfits ,238,88,91,591,4000,31051126,Adventure|Animation|Comedy|Family,36877,6254,0,101,UK,PG,55000000,2012,796,6.7,2.35,0
Changeling ,264,141,16000,539,11000,35707327,Crime|Drama|Mystery|Thriller,199056,12840,0,387,USA,R,55000000,2008,963,7.8,2.35,14000
Chain Reaction ,47,107,99,581,18000,20550712,Action|Drama|Sci-Fi|Thriller,40346,31014,1,95,USA,PG-13,50000000,1996,11000,5.6,1.85,1000
The Fan ,50,116,12000,552,22000,18573791,Action|Drama|Sport|Thriller,38533,24618,3,89,USA,R,55000000,1996,617,5.8,2.35,0
The Phantom of the Opera ,153,143,541,530,18000,51225796,Drama|Musical|Romance|Thriller,96654,20660,0,2047,UK,PG-13,70000000,2004,893,7.4,2.35,0
Elizabeth: The Golden Age ,202,114,159,877,13000,16264475,Biography|Drama|History|War,54787,16899,1,216,UK,PG-13,55000000,2007,2000,6.9,1.85,0
Æon Flux ,178,93,45,352,9000,25857987,Action|Sci-Fi,110614,10185,0,532,USA,PG-13,62000000,2005,460,5.5,2.35,0
Gods and Generals ,84,280,33,67,789,12870569,Drama|History|War,13215,1671,0,497,USA,PG-13,56000000,2003,640,6.3,2.35,953
Turbulence ,44,100,0,745,995,11466088,Action|Thriller,8983,3952,0,84,USA,R,71000000,1997,879,4.7,2.35,316
Imagine That ,93,107,11,506,939,16088610,Comedy|Drama|Family|Fantasy,10417,3742,2,39,USA,PG,55000000,2009,605,5.6,2.35,610
Muppets Most Wanted ,277,119,33,518,3000,51178893,Adventure|Comedy|Crime|Family|Musical,24285,6089,4,110,USA,PG,50000000,2014,2000,6.4,1.85,10000
Thunderbirds ,76,95,906,287,956,6768055,Action|Adventure|Comedy|Family|Sci-Fi,11148,2260,0,229,UK,PG,57000000,2004,579,4.2,1.85,437
Burlesque ,197,119,59,676,2000,39440655,Drama|Music|Musical|Romance,61680,4315,1,222,USA,PG-13,55000000,2010,828,6.4,2.35,19000
A Very Long Engagement ,186,133,0,46,226,6167817,Drama|Mystery|Romance|War,62607,405,1,239,France,R,47000000,2004,52,7.7,2.35,0
Lolita ,103,152,0,177,617,,Crime|Drama|Romance,67822,1403,0,207,UK,Not Rated,2000000,1962,367,7.7,1.66,0
Eye See You ,66,96,13,534,13000,,Crime|Horror|Mystery|Thriller,19706,15803,1,142,USA,R,55000000,2002,854,5.3,2.35,448
Blade II ,224,117,0,845,12000,81645152,Action|Horror|Sci-Fi|Thriller,158267,15371,1,559,USA,R,54000000,2002,919,6.7,1.85,0
Seven Pounds ,202,123,125,835,10000,69951824,Drama|Romance,232710,14727,1,599,USA,PG-13,55000000,2008,3000,7.7,2.35,26000
Bullet to the Head ,279,92,394,565,13000,9483821,Action|Thriller,39247,25418,3,131,USA,R,55000000,2012,11000,5.7,1.85,10000
The Godfather: Part III ,110,170,0,889,14000,66676062,Crime|Drama,267980,16949,1,545,USA,R,54000000,1990,1000,7.6,1.85,0
Elizabethtown ,190,123,488,2000,5000,26838389,Comedy|Drama|Romance,58658,12700,0,495,USA,PG-13,57000000,2005,4000,6.4,1.85,0
"You, Me and Dupree ",136,110,94,240,277,75604320,Comedy|Romance,68417,847,1,195,USA,PG-13,54000000,2006,245,5.6,1.85,0
Superman II ,121,116,44,420,593,108200000,Action|Adventure|Romance|Sci-Fi,76331,2908,4,269,USA,PG,54000000,1980,467,6.8,2.35,0
Gigli ,131,121,102,43,117,5660084,Comedy|Crime|Romance,41620,286,0,418,USA,R,54000000,2003,62,2.4,2.35,2000
All the King's Men ,127,128,234,581,14000,7221458,Drama|Thriller,20740,27614,0,178,Germany,PG-13,55000000,2006,12000,6.2,1.85,0
Shaft ,160,99,309,577,23000,70327868,Action|Crime|Thriller,58416,26527,0,301,Germany,R,46000000,2000,1000,5.9,2.35,0
Anastasia ,78,94,383,753,4000,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,86347,6017,1,191,USA,G,50000000,1997,808,7.1,2.35,0
Moulin Rouge! ,209,127,1000,653,1000,57386369,Drama|Musical|Romance,224013,2601,1,2319,USA,PG-13,52500000,2001,691,7.6,2.35,10000
Domestic Disturbance ,98,89,17,303,12000,45207112,Crime|Mystery|Thriller,21283,13390,1,190,USA,PG-13,53000000,2001,708,5.5,2.35,361
Black Mass ,391,123,108,3000,40000,62563543,Biography|Crime|Drama,115216,63769,7,289,USA,R,53000000,2015,19000,7,2.35,44000
Flags of Our Fathers ,279,135,16000,310,23000,33574332,Drama|History|War,101221,24468,0,415,USA,R,90000000,2006,638,7.1,2.35,0
Law Abiding Citizen ,216,118,473,963,18000,73343413,Crime|Drama|Thriller,217480,22517,0,429,USA,R,50000000,2009,1000,7.4,2.35,21000
Grindhouse ,250,189,0,1000,16000,25031037,Action|Horror|Thriller,155496,22186,0,532,USA,R,53000000,2007,3000,7.6,2.35,0
Beloved ,78,172,438,466,852,22843047,Drama|History|Horror,6082,2397,1,207,USA,R,55000000,1998,637,5.9,1.85,853
Lucky You ,106,124,161,681,21000,5755286,Drama|Romance|Sport,18310,26334,1,63,USA,PG-13,55000000,2007,3000,5.9,2.35,672
Catch Me If You Can ,194,141,14000,3000,29000,164435221,Biography|Crime|Drama,525801,48153,0,667,USA,PG-13,52000000,2002,15000,8,1.85,15000
Zero Dark Thirty ,558,157,0,304,1000,95720716,Drama|History|Thriller,216032,2759,0,640,USA,R,40000000,2012,1000,7.4,1.85,39000
The Break-Up ,183,106,235,931,4000,118683135,Comedy|Drama|Romance,102167,8315,1,483,USA,PG-13,52000000,2006,957,5.8,1.85,0
Mamma Mia! ,238,108,58,838,14000,143704210,Comedy|Family|Musical|Romance,145974,26002,1,611,USA,PG-13,52000000,2008,11000,6.3,2.35,10000
Valentine's Day ,186,125,0,11000,14000,110476776,Comedy|Romance,95437,45696,12,211,USA,PG-13,52000000,2010,12000,5.7,1.85,9000
The Dukes of Hazzard ,144,107,422,379,631,80270227,Action|Adventure|Comedy,66382,2297,5,612,USA,PG-13,50000000,2005,534,5.1,2.35,0
The Thin Red Line ,156,215,0,463,648,36385763,Drama|War,138941,1937,0,1448,USA,R,52000000,1998,568,7.6,2.35,0
The Change-Up ,215,118,71,634,16000,37035845,Comedy|Fantasy,136680,28045,2,149,USA,R,52000000,2011,10000,6.4,2.35,13000
Man on the Moon ,140,118,869,21,134,34580635,Biography|Comedy|Drama,100743,209,1,549,UK,R,52000000,1999,27,7.4,2.35,0
Casino ,133,178,17000,574,22000,42438300,Biography|Crime|Drama,333542,24183,2,533,USA,R,52000000,1995,721,8.2,2.35,11000
From Paris with Love ,203,92,180,75,211,23324666,Action|Thriller,97775,488,1,211,France,R,52000000,2010,135,6.5,2.35,0
Bulletproof Monk ,127,104,13,343,961,23020488,Action|Comedy|Fantasy,42324,2422,3,180,USA,PG-13,52000000,2003,691,5.5,2.35,846
"Me, Myself & Irene ",155,116,101,79,889,90567722,Comedy,185878,1711,1,481,USA,R,51000000,2000,624,6.5,1.85,0
Barnyard ,98,90,176,523,677,72601713,Animation|Comedy|Family,21396,2055,1,155,Germany,PG,51000000,2006,560,5.6,1.85,605
Deck the Halls ,71,93,14,728,2000,35092918,Comedy|Family,15740,5468,0,110,USA,PG,,2006,1000,4.9,1.85,1000
The Twilight Saga: New Moon ,299,130,129,12000,21000,296623634,Adventure|Drama|Fantasy|Romance,220758,64040,2,919,USA,PG-13,50000000,2009,17000,4.6,2.35,13000
Shrek ,212,90,80,21,145,267652016,Adventure|Animation|Comedy|Family|Fantasy,467113,275,1,945,USA,PG,60000000,2001,50,7.9,1.85,0
The Adjustment Bureau ,413,106,53,593,13000,62453315,Romance|Sci-Fi|Thriller,200035,14607,2,407,USA,PG-13,50200000,2011,963,7.1,1.85,36000
Robin Hood: Prince of Thieves ,67,155,58,720,25000,165500000,Action|Adventure|Drama|Romance,145257,38518,0,322,USA,PG-13,48000000,1991,11000,6.9,1.85,0
Jerry Maguire ,109,139,488,597,10000,153620822,Comedy|Drama|Romance|Sport,189923,12182,0,318,USA,R,50000000,1996,743,7.3,1.85,0
Ted ,457,112,3000,1000,15000,218628680,Comedy|Fantasy,471644,21773,1,623,USA,R,50000000,2012,3000,7,1.85,74000
As Good as It Gets ,156,139,274,285,625,147637474,Comedy|Drama|Romance,224671,1474,0,470,USA,PG-13,50000000,1997,440,7.7,1.85,11000
Patch Adams ,55,115,293,878,49000,135014968,Biography|Comedy|Drama|Romance,80580,74382,1,375,USA,PG-13,50000000,1998,22000,6.7,2.35,0
Anchorman 2: The Legend Continues ,272,143,285,7000,11000,2175312,Comedy,131227,28176,2,346,USA,PG-13,50000000,2013,8000,6.3,2.35,41000
Mr. Deeds ,117,96,65,828,12000,126203320,Comedy|Romance,110432,26826,1,309,USA,PG-13,50000000,2002,11000,5.8,1.85,0
Super 8 ,539,112,14000,417,1000,126975169,Mystery|Sci-Fi|Thriller,287822,3388,0,849,USA,PG-13,50000000,2011,560,7.1,2.35,37000
Erin Brockovich ,169,131,0,658,8000,125548685,Biography|Drama,135246,10003,0,498,USA,R,52000000,2000,883,7.3,1.85,0
How to Lose a Guy in 10 Days ,140,116,80,651,11000,105807520,Comedy|Romance,156717,14087,2,357,USA,PG-13,50000000,2003,1000,6.4,1.85,0
22 Jump Street ,330,112,97,584,17000,191616238,Action|Comedy|Crime,258186,19428,2,322,USA,R,50000000,2014,920,7.1,2.35,24000
Interview with the Vampire: The Vampire Chronicles ,120,123,277,4000,11000,105264608,Drama|Fantasy|Horror,239752,25697,0,406,USA,R,60000000,1994,10000,7.6,1.85,11000
Yes Man ,190,104,235,1000,14000,97680195,Comedy|Romance,271691,29505,1,243,USA,PG-13,70000000,2008,11000,6.8,2.35,0
Central Intelligence ,177,107,43,569,12000,126088877,Action|Comedy|Crime,33354,14569,2,110,USA,PG-13,50000000,2016,919,6.6,2.35,10000
Stepmom ,65,124,0,701,8000,91030827,Comedy|Drama,46482,9988,2,252,USA,PG-13,50000000,1998,818,6.7,2.35,0
Daddy's Home ,145,96,51,322,8000,150315155,Comedy|Family,54010,10886,2,130,USA,PG-13,50000000,2015,2000,6.1,1.85,13000
Into the Woods ,321,125,252,10000,40000,127997349,Adventure|Comedy|Drama|Fantasy|Musical,101178,62837,1,779,USA,PG,50000000,2014,11000,6,2.39,90000
